flavor,OnDemand,RAllUpfront1Y,RPartialUpfront1YUP,RPartialUpfront1YM,RNoUpfront1YM
r5dn.4xlarge,1.336,6882,3511,0.401,0.842
r5dn.8xlarge,2.672,13763,7022,0.802,1.683
r5dn.large,0.167,860,439,0.05,0.105
r5dn.metal,8.016,41289,21066,2.405,5.05
r5dn.xlarge,0.334,1720,878,0.1,0.21
r5n.12xlarge,3.576,18420,9398,1.073,2.253
r5n.16xlarge,4.768,24559,12530,1.43,3.004
r5n.24xlarge,7.152,36839,18795,2.146,4.506
r5n.2xlarge,0.596,3070,1566,0.179,0.375
r5n.4xlarge,1.192,6140,3133,0.358,0.751
r5n.8xlarge,2.384,12280,6265,0.715,1.502
r5n.large,0.149,767,392,0.045,0.094
r5n.metal,7.152,36839,18795,2.146,4.506
r5n.xlarge,0.298,1535,783,0.089,0.188
r6a.12xlarge,2.7216,14720,7510,0.8573,1.80034
r6a.16xlarge,3.6288,19626,10013,1.14307,2.40045
r6a.24xlarge,5.4432,29439,15020,1.71461,3.60068
r6a.2xlarge,0.4536,2453,1252,0.14288,0.30006
r6a.32xlarge,7.2576,39252,20027,2.28614,4.8009
r6a.48xlarge,10.8864,58878,30040,3.42922,7.20135
r6a.4xlarge,0.9072,4907,2503,0.28577,0.60011
r6a.8xlarge,1.8144,9813,5007,0.57154,1.20023
r6a.large,0.1134,613,313,0.03572,0.07501
r6a.metal,10.8864,58878,30040,3.42922,7.20135
r6a.xlarge,0.2268,1227,626,0.07144,0.15003
r6g.12xlarge,2.4192,12461,6358,0.7258,1.5241
r6g.16xlarge,3.2256,16615,8477,0.9677,2.0321
r6g.2xlarge,0.4032,2077,1060,0.121,0.254
r6g.4xlarge,0.8064,4154,2119,0.2419,0.508
r6g.8xlarge,1.6128,8307,4238,0.4838,1.0161
r6g.large,0.1008,519,265,0.0302,0.0635
r6g.medium,0.0504,260,132,0.0151,0.0318
r6g.metal,3.2256,16615,8477,0.9677,2.0321
r6g.xlarge,0.2016,1038,530,0.0605,0.127
r6gd.12xlarge,2.7648,14241,7266,0.8294,1.7418
r6gd.16xlarge,3.6864,18988,9688,1.1059,2.3224
r6gd.2xlarge,0.4608,2374,1211,0.1382,0.2903
r6gd.4xlarge,0.9216,4747,2422,0.2765,0.5806
r6gd.8xlarge,1.8432,9494,4844,0.553,1.1612
r6gd.large,0.1152,593,303,0.0346,0.0726
r6gd.medium,0.0576,297,151,0.0173,0.0363
r6gd.metal,3.6864,18988,9688,1.1059,2.3224
r6gd.xlarge,0.2304,1187,605,0.0691,0.1452
r6i.12xlarge,3.024,16355,8344,0.95256,2.00038
r6i.16xlarge,4.032,21807,11126,1.27008,2.66717
r6i.24xlarge,6.048,32710,16689,1.90512,4.00075
r6i.2xlarge,0.504,2726,1391,0.15876,0.3334
r6i.32xlarge,8.064,43614,22252,2.54016,5.33434
r6i.4xlarge,1.008,5452,2781,0.31752,0.66679
r6i.8xlarge,2.016,10903,5563,0.63504,1.33358
r6i.large,0.126,681,348,0.03969,0.08335
r6i.metal,8.064,43614,22252,2.54016,5.33434
r6i.xlarge,0.252,1363,695,0.07938,0.1667
r6id.12xlarge,3.6288,18646,9513,1.086,2.2806
r6id.16xlarge,4.8384,24862,12684,1.448,3.0408
r6id.24xlarge,7.2576,37292,19027,2.172,4.5612
r6id.2xlarge,0.6048,3108,1586,0.181,0.3801
r6id.32xlarge,9.6768,49723,25369,2.896,6.0816
r6id.4xlarge,1.2096,6215,3171,0.362,0.7602
r6id.8xlarge,2.4192,12431,6342,0.724,1.5204
r6id.large,0.1512,777,396,0.04525,0.09503
r6id.metal,9.6768,49723,25369,2.896,6.0816
r6id.xlarge,0.3024,1554,793,0.0905,0.19005
r6idn.12xlarge,4.68936,24154,12324,1.40681,2.9543
r6idn.16xlarge,6.25248,32206,16432,1.87574,3.93906
r6idn.24xlarge,9.37872,48309,24647,2.81362,5.90859
r6idn.2xlarge,0.78156,4026,2054,0.23447,0.49238
r6idn.32xlarge,12.50496,64412,32863,3.75149,7.87812
r6idn.4xlarge,1.56312,8051,4108,0.46894,0.98477
r6idn.8xlarge,3.12624,16103,8216,0.93787,1.96953
r6idn.large,0.19539,1006,513,0.05862,0.1231
r6idn.metal,12.50496,64412,32863,3.75149,7.87812
r6idn.xlarge,0.39078,2013,1027,0.11723,0.24619
r6in.12xlarge,4.18392,21551,10995,1.25518,2.63587
r6in.16xlarge,5.57856,28734,14660,1.67357,3.51449
r6in.24xlarge,8.36784,43102,21991,2.51035,5.27174
r6in.2xlarge,0.69732,3592,1833,0.2092,0.43931
r6in.32xlarge,11.15712,57469,29321,3.34714,7.02899
r6in.4xlarge,1.39464,7184,3665,0.41839,0.87862
r6in.8xlarge,2.78928,14367,7330,0.83678,1.75725
r6in.large,0.17433,898,458,0.0523,0.10983
r6in.metal,11.15712,57469,29321,3.34714,7.02899
r6in.xlarge,0.34866,1796,916,0.1046,0.21966
r7g.12xlarge,2.5704,13902,7093,0.8097,1.7003
r7g.16xlarge,3.4272,18536,9457,1.0796,2.2671
r7g.2xlarge,0.4284,2317,1182,0.1349,0.2834
r7g.4xlarge,0.8568,4634,2364,0.2699,0.5668
r7g.8xlarge,1.7136,9268,4729,0.5398,1.1335
r7g.large,0.1071,579,296,0.0337,0.0708
r7g.medium,0.0536,290,148,0.0169,0.0354
r7g.metal,3.4272,18536,9457,1.0796,2.2671
r7g.xlarge,0.2142,1158,591,0.0675,0.1417
t1.micro,0.02,103,62,0.005,0.014
t2.2xlarge,0.3712,1880,959,0.1095,0.23
t2.large,0.0928,470,240,0.0274,0.0575
t2.medium,0.0464,235,120,0.0137,0.0287
t2.micro,0.0116,59,30,0.0034,0.0072
t2.nano,0.0058,29,15,0.0017,0.0036
t2.small,0.023,118,60,0.0068,0.0144
t2.xlarge,0.1856,940,480,0.0548,0.115
t3.2xlarge,0.3328,1706,870,0.0993,0.2086
t3.large,0.0832,426,218,0.0248,0.0522
t3.medium,0.0416,213,109,0.0124,0.0261
t3.micro,0.0104,53,27,0.0031,0.0065
t3.nano,0.0052,27,14,0.0016,0.0033
t3.small,0.0208,107,54,0.0062,0.013
t3.xlarge,0.1664,853,435,0.0497,0.1043
t3a.2xlarge,0.3008,1542,787,0.0898,0.1886
t3a.large,0.0752,385,197,0.0224,0.0471
t3a.medium,0.0376,193,98,0.0112,0.0236
t3a.micro,0.0094,48,25,0.0028,0.0059
t3a.nano,0.0047,24,12,0.0014,0.0029
t3a.small,0.0188,96,49,0.0056,0.0118
t3a.xlarge,0.1504,771,393,0.0449,0.0943
t4g.2xlarge,0.2688,1378,703,0.0803,0.1686
t4g.large,0.0672,345,176,0.0201,0.0421
t4g.medium,0.0336,172,88,0.01,0.0211
t4g.micro,0.0084,43,22,0.0025,0.0053
t4g.nano,0.0042,22,11,0.0013,0.0026
t4g.small,0.0168,86,44,0.005,0.0105
t4g.xlarge,0.1344,689,352,0.0401,0.0843
trn1.2xlarge,1.34375,6760,3449,0.39372,0.82681
trn1.32xlarge,21.5,108160,55184,6.2995,13.22895
u-12tb1.112xlarge,109.2,550289,280760,32.0502,67.30542
u-18tb1.112xlarge,163.8,825293,421068,48.06711,100.94093
u-24tb1.112xlarge,218.4,1100391,561424,64.08948,134.58791
u-3tb1.56xlarge,27.3,137549,70178,8.01119,16.82349
u-6tb1.112xlarge,54.6,275098,140356,16.02237,33.64698
u-6tb1.56xlarge,46.40391,233802,119287,13.61723,28.59618
u-9tb1.112xlarge,81.9,412717,210570,24.03765,50.47907
vt1.24xlarge,5.2,26785,13666,1.56,3.276
vt1.3xlarge,0.65,3348,1708,0.195,0.4095
vt1.6xlarge,1.3,6696,3416,0.39,0.819
x1.16xlarge,6.669,33601,17143,1.957,4.11
x1.32xlarge,13.338,67199,34285,3.914,8.219
x1e.16xlarge,13.344,67232,34302,3.916,8.223
x1e.2xlarge,1.668,8404,4288,0.489,1.028
x1e.32xlarge,26.688,134464,68604,7.832,16.446
x1e.4xlarge,3.336,16808,8576,0.979,2.056
x1e.8xlarge,6.672,33616,17151,1.958,4.112
x1e.xlarge,0.834,4202,2144,0.245,0.514
x2gd.12xlarge,4.008,20194,10303,1.1761,2.4699
x2gd.16xlarge,5.344,26925,13737,1.5682,3.2932
x2gd.2xlarge,0.668,3366,1717,0.196,0.4117
x2gd.4xlarge,1.336,6731,3434,0.392,0.8233
x2gd.8xlarge,2.672,13463,6869,0.7841,1.6466
x2gd.large,0.167,841,429,0.049,0.1029
x2gd.medium,0.0835,421,215,0.0245,0.0515
x2gd.metal,5.344,26925,13737,1.5682,3.2932
x2gd.xlarge,0.334,1683,859,0.098,0.2058
x2idn.16xlarge,6.669,33550,17117,1.95402,4.10344
x2idn.24xlarge,10.0035,50325,25676,2.93103,6.15515
x2idn.32xlarge,13.338,67099,34234,3.90803,8.20687
x2idn.metal,13.338,67099,34234,3.90803,8.20687
x2iedn.16xlarge,13.338,67099,34234,3.90803,8.20687
x2iedn.24xlarge,20.007,100649,51352,5.86205,12.31031
x2iedn.2xlarge,1.66725,8387,4279,0.4885,1.02586
x2iedn.32xlarge,26.676,134199,68469,7.81607,16.41374
x2iedn.4xlarge,3.3345,16775,8559,0.97701,2.05172
x2iedn.8xlarge,6.669,33550,17117,1.95402,4.10344
x2iedn.metal,26.676,134199,68469,7.81607,16.41374
x2iedn.xlarge,0.83363,4194,2140,0.24425,0.51293
x2iezn.12xlarge,10.008,50376,25702,2.934,6.1614
x2iezn.2xlarge,1.668,8396,4284,0.489,1.0269
x2iezn.4xlarge,3.336,16792,8567,0.978,2.0538
x2iezn.6xlarge,5.004,25188,12851,1.467,3.0807
x2iezn.8xlarge,6.672,33584,17135,1.956,4.1076
x2iezn.metal,10.008,50376,25702,2.934,6.1614
z1d.12xlarge,4.464,22994,11731,1.339,2.812
z1d.2xlarge,0.744,3832,1955,0.223,0.469
z1d.3xlarge,1.116,5748,2933,0.335,0.703
z1d.6xlarge,2.232,11497,5866,0.67,1.406
z1d.large,0.186,958,489,0.056,0.117
z1d.metal,4.464,22994,11731,1.339,2.812
z1d.xlarge,0.372,1916,978,0.112,0.234
